group_id,transition_name,SPI,ISR,Ecc_X_1,Ecc_Y_1,Ecc_X_2,Ecc_Y_2,from_pga,to_pga,pga_ratio,log_pga_ratio,from_log_IDR_frame,from_log_IDR_masonry,from_damage_frame,from_damage_masonry,from_damage_global,transition_stage,from_IDR_frame,from_IDR_masonry,to_IDR_frame,to_IDR_masonry,to_log_IDR_frame,to_log_IDR_masonry,delta_log_IDR_frame,delta_log_IDR_masonry,target_log_delta_frame,target_log_delta_masonry,to_damage_frame,to_damage_masonry,to_damage_global,delta_damage_frame,delta_damage_masonry,delta_damage_global,to_score_global,from_score_global
64,mid_to_high,7,2.5,0.0,0.0,0.0883,0.0,100.0,220.0,2.2,0.7884573603642703,-5.637844932604932,-7.0086848848946035,2,1,2,1,0.0035605333333333,0.0009039966666666,0.008957,0.00224484,-4.715319929489079,-6.099121029815461,0.922525003115853,0.9095638550791432,-0.08064079978613096,-0.09479007449548547,3,2,3,1,1,1,3.6871,2.254527999999992
65,low_to_mid,7,2.5,0.0,0.0,0.1294,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-6.988350917271486,-8.044510861428394,0,0,0,0,0.0009225666666666,0.0003208583333333,0.0035399333333333,0.0010047633333333,-5.643647384405509,-6.903003254423635,1.3447035328659767,1.1415076070047585,0.29617356709639386,0.13234985100822294,2,1,2,2,1,2,2.249583999999992,0.80214583333325
65,mid_to_high,7,2.5,0.0,0.0,0.1294,0.0,100.0,220.0,2.2,0.7884573603642703,-5.643647384405509,-6.903003254423635,2,1,2,1,0.0035399333333333,0.0010047633333333,0.0088659333333333,0.0024045033333333,-4.725539062049908,-6.030411910957936,0.9181083223556011,0.8725913434656996,-0.08543989711417178,-0.1362879387341117,3,2,3,1,1,1,3.65977999999999,2.249583999999992
66,low_to_mid,7,2.5,0.0,0.0542,0.0,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-6.978790711267413,-8.164567601724114,0,0,0,0,0.0009314288888888,0.0002845596666666,0.0035158,0.0008986333333333,-5.650488183598483,-7.014635467276278,1.3283025276689295,1.1499321344478353,0.2839018320897878,0.13970292711017068,2,1,2,2,1,2,2.243792,0.74514311111104
66,mid_to_high,7,2.5,0.0,0.0542,0.0,0.0,100.0,220.0,2.2,0.7884573603642703,-5.650488183598483,-7.014635467276278,2,1,2,1,0.0035158,0.0008986333333333,0.0088708444444444,0.0022493366666666,-4.724985284887207,-6.097119921047083,0.9255028987112757,0.9175155462291953,-0.07741801492456948,-0.08608575507794775,3,2,3,1,1,1,3.6612533333333204,2.243792
67,low_to_mid,7,2.5,0.0,0.0969,0.0,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-6.981636268351416,-8.173798541509042,0,0,0,0,0.0009287822222222,0.000281945,0.0034851111111111,0.00092234,-5.659255352606126,-6.988596638826766,1.322380915745289,1.185201902682276,0.2794338358909661,0.16991314208408778,2,1,2,2,1,2,2.236426666666664,0.74302577777776
67,mid_to_high,7,2.5,0.0,0.0969,0.0,0.0,100.0,220.0,2.2,0.7884573603642703,-5.659255352606126,-6.988596638826766,2,1,2,1,0.0034851111111111,0.00092234,0.0088590666666666,0.0022979266666666,-4.72631386227673,-6.075748011872164,0.9329414903293965,0.9128486269546028,-0.06941279143092374,-0.0911852095541069,3,2,3,1,1,1,3.65771999999998,2.236426666666664
68,low_to_mid,7,2.5,0.0,0.1646,0.0,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-6.9812415640815235,-8.11801446795078,0,0,0,0,0.0009291488888888,0.00029812,0.0034172888888888,0.0009084633333333,-5.678907764825427,-7.0037560305096065,1.3023337992560975,1.1142584374411748,0.2641578851647528,0.10818910512115326,2,1,2,2,1,2,2.2201493333333118,0.7453000000000001
68,mid_to_high,7,2.5,0.0,0.1646,0.0,0.0,100.0,220.0,2.2,0.7884573603642703,-5.678907764825427,-7.0037560305096065,2,1,2,1,0.0034172888888888,0.0009084633333333,0.0087302222222222,0.0022778433333333,-4.740964454446329,-6.084526190100354,0.9379433103790972,0.9192298404092522,-0.06406576849834153,-0.08421908951797709,3,2,3,1,1,1,3.6190666666666598,2.2201493333333118
69,low_to_mid,7,2.5,0.0407,0.072,0.0,0.0,35.0,100.0,2.857142857142857,1.0498221244986776,-6.976038878252642,-8.039739259726323,0,0,0,0,0.0009339955555555,0.000322393,0.0034905555555555,0.0010063033333333,-5.657694370463462,-6.901471728565701,1.3183445077891798,1.1382675311606214,0.2763767887147097,0.12950739696841582,2,1,2,2,1,2,2.23773333333332,0.8059824999999999
