"SPI","ISR","Ecc_X_1","Ecc_Y_1","Ecc_X_2","Ecc_Y_2","PGA","IDR_frame","IDR_masonry"
"6","2.5","0.1346","0","0","0","18","0.000437682222222222","0.000194296"
"6","2.5","0.1346","0","0","0","50","0.00137014444444444","0.000572943333333333"
"6","2.5","0.1583","0.2536","0","0","125","0.00444657777777778","0.00148728"
"6","2.5","0.1583","0.2536","0","0","18","0.000421644444444444","0.000189539666666667"
"6","2.5","0.1583","0.2536","0","0","50","0.00134488666666667","0.000530166666666667"
"6","2.5","0","0.0542","0","0","125","0.00461557777777778","0.00115626333333333"
"6","2.5","0","0.0542","0","0","18","0.000440617777777778","0.000170781"
"6","2.5","0","0.0542","0","0","50","0.00141133777777778","0.000440993333333333"
"6","2.5","0","0.0969","0","0","125","0.004616","0.00116966333333333"
"6","2.5","0","0.0969","0","0","18","0.000438291111111111","0.000167802333333333"
"6","2.5","0","0.0969","0","0","50","0.00139541111111111","0.000447506666666667"
"6","2.5","0","0.1646","0","0","125","0.00442442222222222","0.00120019"
"6","2.5","0","0.1646","0","0","18","0.000433535555555556","0.000179401333333333"
"6","2.5","0","0.1646","0","0","50","0.00136188444444444","0.000445816666666667"
"6","2.5","0","0","0.0257","0.1235","125","0.0046718","0.00119760666666667"
"6","2.5","0","0","0.0257","0.1235","18","0.000452922222222222","0.000167321666666667"
"6","2.5","0","0","0.0257","0.1235","50","0.00142732","0.000447176666666667"
"6","2.5","0","0","0.0342","0.086","125","0.00469077777777778","0.00113889666666667"
"6","2.5","0","0","0.0342","0.086","18","0.00045424","0.000168197666666667"
"6","2.5","0","0","0.0342","0.086","50","0.00141607555555556","0.000453093333333333"
"6","2.5","0","0","0.048","0.2011","125","0.004627","0.00129968333333333"
"6","2.5","0","0","0.048","0.2011","18","0.000429106666666667","0.000170219333333333"
"6","2.5","0","0","0.048","0.2011","50","0.0013626","0.00046916"
"6","2.5","0","0","0.0682","0","125","0.00466142222222222","0.00127422333333333"
"6","2.5","0","0","0.0682","0","18","0.000439733333333333","0.000187893333333333"
"6","2.5","0","0","0.0682","0","50","0.00141613555555556","0.000489106666666667"
"6","2.5","0","0","0.0872","0","125","0.00470837777777778","0.00113767666666667"
"6","2.5","0","0","0.0872","0","18","0.000448735555555556","0.000171217"
"6","2.5","0","0","0.0872","0","50","0.00141330666666667","0.00044752"
"6","2.5","0","0","0.1125","0","125","0.00455177777777778","0.00131568333333333"
"6","2.5","0","0","0.1125","0","18","0.000436837777777778","0.000187357666666667"
"6","2.5","0","0","0.1125","0","50","0.00136525555555556","0.00050322"
"6","2.5","0","0","0","0.0727","125","0.00473175555555556","0.00116350666666667"
"6","2.5","0","0","0","0.0727","18","0.000448231111111111","0.000178535333333333"
"6","2.5","0","0","0","0.0727","50","0.00142766888888889","0.00045301"
"6","2.5","0","0","0","0.1468","125","0.00473193333333333","0.00116737333333333"
"6","2.5","0","0","0","0.1468","18","0.00044576","0.000174252"
"6","2.5","0","0","0","0.1468","50","0.00142499111111111","0.000441256666666667"
"6","2.5","0","0","0","0.2146","125","0.00467353333333333","0.00119220333333333"
"6","2.5","0","0","0","0.2146","18","0.000442695555555556","0.000169481"
"6","2.5","0","0","0","0.2146","50","0.00139784444444444","0.000453363333333333"
"6","2.5","0","0","0","0","125","0.00459882222222222","0.00116339"
"6","2.5","0","0","0","0","18","0.000442397777777778","0.0001727"
"6","2.5","0","0","0","0","50","0.00139796444444444","0.000442123333333333"
"7","1","0.0709","0.0789","0","0","100","0.00212540666666667","0.00142783"
"7","1","0.0709","0.0789","0","0","220","0.00662904444444444","0.00331673666666667"
"7","1","0.0709","0.0789","0","0","35","0.0005417","0.000451513333333333"
"7","1","0.0728","0","0","0","100","0.00206380666666667","0.00148131333333333"
"7","1","0.0728","0","0","0","220","0.00665915555555556","0.00327448333333333"
"7","1","0.0728","0","0","0","35","0.000546075555555556","0.000450866666666667"
"7","1","0.1122","0","0","0","100","0.00210188222222222","0.00159206666666667"
"7","1","0.1122","0","0","0","220","0.00670737777777778","0.00363843333333333"
"7","1","0.1122","0","0","0","35","0.000555751111111111","0.000454916666666667"
"7","1","0.1343","0.1509","0","0","100","0.00206832888888889","0.00153335666666667"
"7","1","0.1343","0.1509","0","0","220","0.00660642222222222","0.00361053333333333"
"7","1","0.1343","0.1509","0","0","35","0.000548802222222222","0.000439653333333333"
"7","1","0.1837","0","0","0","100","0.00217261777777778","0.00156172666666667"
"7","1","0.1837","0","0","0","220","0.00682457777777778","0.00400423333333333"
"7","1","0.1837","0","0","0","35","0.000576337777777778","0.000459093333333333"
"7","1","0.2592","0.3085","0","0","100","0.00201880666666667","0.00139477"
"7","1","0.2592","0.3085","0","0","220","0.00708008888888889","0.0039221"
"7","1","0.2592","0.3085","0","0","35","0.000521448888888889","0.000446476666666667"
"7","1","0","0.0766","0","0","100","0.00212355777777778","0.00145348666666667"
"7","1","0","0.0766","0","0","220","0.00662864444444444","0.00292498666666667"
"7","1","0","0.0766","0","0","35","0.000540993333333333","0.000451146666666667"
"7","1","0","0.1357","0","0","100","0.00205860888888889","0.00143352666666667"
"7","1","0","0.1357","0","0","220","0.00658644444444444","0.00292236333333333"
"7","1","0","0.1357","0","0","35","0.000528575555555556","0.000438426666666667"
"7","1","0","0","0.0233","0.1249","100","0.00216419111111111","0.00146331"
"7","1","0","0","0.0233","0.1249","220","0.0067198","0.00308762666666667"
"7","1","0","0","0.0233","0.1249","35","0.000537993333333333","0.00043753"
"7","1","0","0","0.0339","0.0879","100","0.00216525111111111","0.00144074666666667"
"7","1","0","0","0.0339","0.0879","220","0.00671924444444444","0.00308455666666667"
"7","1","0","0","0.0339","0.0879","35","0.000533971111111111","0.000442406666666667"
"7","1","0","0","0.0509","0.2034","100","0.00210067111111111","0.00154168333333333"
"7","1","0","0","0.0509","0.2034","220","0.00664311111111111","0.0035385"
